"State","homicideRate2017","firearmDeathRate","firearmDeaths"
"New Hampshire",1,"9.3000",132
"North Dakota","1.3000","11.9000",90
"Maine","1.7000","8.3000",123
"Idaho","1.9000","14.6000",242
"Rhode Island","1.9000","4.1000",49
"Minnesota",2,"7.6000",432
"Nebraska","2.2000","9.1000",171
"Vermont","2.2000","11.1000",78
"Utah","2.4000","12.9000",370
"Massachusetts","2.5000","3.4000",242
"Oregon","2.5000","11.9000",513
"Wyoming","2.6000","17.4000",101
"Hawaii","2.7000","4.5000",66
"Connecticut","2.8000","4.6000",172
"New York","2.8000","4.4000",900
"South Dakota","2.9000","13.4000",108
"Washington","3.1000",9,686
"Wisconsin","3.2000","11.4000",664
"Iowa","3.3000","9.2000",288
"New Jersey","3.6000","5.5000",485
"Colorado","3.9000","14.3000",812
"Montana","3.9000","18.9000",194
"California","4.6000","7.9000",3184
"West Virginia","4.7000","17.5000",332
"Florida",5,"12.6000",2704
"Texas",5,"12.1000",3353
"Virginia","5.3000","12.1000",1049
"Kansas","5.5000","13.4000",383
"Delaware","5.6000",11,111
"Michigan","5.7000","12.3000",1230
"North Carolina","5.8000","13.7000",1409
"Pennsylvania","5.8000",12,1555
"Arizona","5.9000","15.2000",1094
"Kentucky","5.9000","17.5000",772
"Indiana",6,15,997
"Ohio","6.1000","12.9000",1524
"Oklahoma","6.2000","19.6000",766
"Georgia","6.7000",15,1571
"New Mexico","7.1000","18.1000",383
"Illinois","7.8000","11.7000",1490
"South Carolina","7.8000","17.7000",891
"Tennessee","7.8000","17.1000",1148
"Mississippi","8.2000","19.9000",587
"Alabama","8.3000","21.5000",1046
"Alaska","8.4000","23.3000",177
"Arkansas","8.6000","17.8000",541
"Maryland",9,"11.9000",707
"Nevada","9.1000","16.8000",498
"Missouri","9.8000",19,1144
"Louisiana","12.4000","21.3000",987