State,AirQualityIndex,Pop,avgCost,registrationCost,registrationNote,costIndex,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,homicideRate2017,firearmDeathRate,firearmDeaths,debt,PerCapita,overallRank,higherEducationRank,prek12Rank,EmploymentRateRank,employmentRate,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,totalHomeless,totalHouseholds,totalVeterans,totalYoungAdults,lowestIncomeTaxBracket,highestIncomeTaxBracket,Growth,rank,Pop2018,Pop2010,growthSince2010,Percent,density,Total Outdoor Recreation Industries,Private industries,Manufacturing,Retail trade,"Finance, insurance, real estate, rental, and leasing","Arts, entertainment, and recreation",Accomodations and food service,All other private industries,Government,averageACTScore,meetingEnglish,meetingReading,meetingMath,meetingScience
North Carolina,,,,,,94.9,22.0,96.6,83.1,97.9,93.4,110.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,95.9,23.0,101.9,85.1,107.6,88.0,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,97.0,24.0,96.9,91.7,107.4,109.6,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,97.3,25.0,100.7,91.4,98.9,98.1,115.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,97.9,26.0,104.0,95.4,102.2,96.7,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,98.4,27.0,98.5,93.6,89.4,108.6,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,98.8,28.0,108.1,90.3,93.6,104.3,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,99.8,29.0,107.0,109.8,91.8,89.8,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,100.7,30.0,96.1,108.0,99.2,88.1,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,101.6,31.0,106.7,88.3,96.8,103.7,108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,,,,,101.7,32.0,106.9,100.8,106.0,109.5,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,105.6,33.0,102.5,119.0,88.4,101.2,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,106.9,34.0,105.1,111.6,83.9,125.0,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,108.1,35.0,113.4,98.2,96.5,107.0,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,108.5,36.0,108.3,121.8,89.0,123.5,105.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,109.7,37.0,100.4,110.3,119.5,111.4,116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,110.7,38.0,107.8,117.8,88.7,121.7,118.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,114.5,39.0,111.3,126.7,120.2,119.9,101.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,117.5,40.0,107.0,123.1,116.1,121.4,121.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,119.4,41.0,106.2,129.4,123.5,124.0,109.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,125.1,42.0,109.5,163.1,101.6,111.1,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,127.7,43.0,114.2,144.7,128.1,111.8,113.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,129.7,44.0,108.5,184.5,107.3,116.7,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,129.9,45.0,134.2,133.9,154.2,130.8,150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,131.6,46.0,113.9,170.3,109.7,116.0,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,134.2,47.0,110.3,181.8,88.0,136.7,113.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,,,,,,139.1,48.0,114.8,204.4,108.7,116.6,104.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,,,,,151.7,49.0,121.4,227.3,117.7,138.9,114.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC,,,,,,158.4,50.0,115.5,267.0,119.7,116.6,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,192.9,51.0,169.3,318.6,172.7,148.6,116.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,1.0,9.3,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,,,1.3,11.9,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,1.7,8.3,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,1.9,14.6,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,1.9,4.1,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,2.0,7.6,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,2.2,9.1,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,2.2,11.1,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,2.4,12.9,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,2.5,3.4,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,2.5,11.9,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,,2.6,17.4,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,2.7,4.5,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,2.8,4.6,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,,,,,,,,,,,,,2.8,4.4,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,,2.9,13.4,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,3.1,9.0,686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,3.2,11.4,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,3.3,9.2,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,3.6,5.5,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,3.9,14.3,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,3.9,18.9,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,,,4.6,7.9,3184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,,4.7,17.5,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,5.0,12.6,2704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,5.0,12.1,3353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,5.3,12.1,1049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,5.5,13.4,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,5.6,11.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,5.7,12.3,1230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,5.8,13.7,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,5.8,12.0,1555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,5.9,15.2,1094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,,5.9,17.5,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,,,6.0,15.0,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,6.1,12.9,1524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,6.2,19.6,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,6.7,15.0,1571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,7.1,18.1,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,,,,,,,,,,,,7.8,11.7,1490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,7.8,17.7,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,7.8,17.1,1148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,,8.2,19.9,587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,8.3,21.5,1046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,8.4,23.3,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,8.6,17.8,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,9.0,11.9,707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,9.1,16.8,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,9.8,19.0,1144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,12.4,21.3,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,6976597.0,,,,,,,,,,,,,,77043165.0,11043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,3563077.0,,,,,,,,,,,,,,38756156.0,10877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,1056161.0,,,,,,,,,,,,,,8932377.0,8457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,734002.0,,,,,,,,,,,,,,5921713.0,8068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,8936574.0,,,,,,,,,,,,,,65874095.0,7371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,,19440469.0,,,,,,,,,,,,,,139234923.0,7162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,1412687.0,,,,,,,,,,,,,,9656278.0,6835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,1371246.0,,,,,,,,,,,,,,7739447.0,5644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,628061.0,,,,,,,,,,,,,,3502960.0,5577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,12659682.0,,,,,,,,,,,,,,61821319.0,4883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,982895.0,,,,,,,,,,,,,,4561576.0,4641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,6083116.0,,,,,,,,,,,,,,28027363.0,4607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,7797095.0,,,,,,,,,,,,,,33427752.0,4287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,1778070.0,,,,,,,,,,,,,,7547010.0,4244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,5851754.0,,,,,,,,,,,,,,23252381.0,3974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,903027.0,,,,,,,,,,,,,,3527703.0,3907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,4645184.0,,,,,,,,,,,,,,18092508.0,3895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,39937489.0,,,,,,,,,,,,,,152772292.0,3825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,761723.0,,,,,,,,,,,,,,2885664.0,3788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,12820878.0,,,,,,,,,,,,,,47519575.0,3706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,1345790.0,,,,,,,,,,,,,,4750384.0,3530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,2096640.0,,,,,,,,,,,,,,7057656.0,3366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,10045029.0,,,,,,,,,,,,,,33463604.0,3331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,6745354.0,,,,,,,,,,,,,,21842716.0,3238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,8626207.0,,,,,,,,,,,,,,27825929.0,3226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,4499692.0,,,,,,,,,,,,,,14403514.0,3201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,5210095.0,,,,,,,,,,,,,,15744638.0,3022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,6169270.0,,,,,,,,,,,,,,18419751.0,2986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,4301089.0,,,,,,,,,,,,,,12656643.0,2943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,5845526.0,,,,,,,,,,,,,,16980689.0,2905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,5700671.0,,,,,,,,,,,,,,16363418.0,2870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,11747694.0,,,,,,,,,,,,,,33493235.0,2851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,2910357.0,,,,,,,,,,,,,,7538475.0,2590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,1086759.0,,,,,,,,,,,,,,2795614.0,2572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,2989260.0,,,,,,,,,,,,,,7470178.0,2499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,3282115.0,,,,,,,,,,,,,,7453346.0,2271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,3954821.0,,,,,,,,,,,,,,8457322.0,2138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,7378494.0,,,,,,,,,,,,,,14291349.0,1937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,3179849.0,,,,,,,,,,,,,,6149694.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,1826156.0,,,,,,,,,,,,,,3369178.0,1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,4908621.0,,,,,,,,,,,,,,8772871.0,1787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,29472295.0,,,,,,,,,,,,,,50963262.0,1729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,3038999.0,,,,,,,,,,,,,,4801939.0,1580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,10611862.0,,,,,,,,,,,,,,16310177.0,1537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,567025.0,,,,,,,,,,,,,,769721.0,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,21992985.0,,,,,,,,,,,,,,28823847.0,1311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,10736059.0,,,,,,,,,,,,,,13050862.0,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,3139658.0,,,,,,,,,,,,,,3248814.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,1952570.0,,,,,,,,,,,,,,2014523.0,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,6897576.0,,,,,,,,,,,,,,6127422.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,6976597.0,,,,,,,,,,,,,,,,1.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,8936574.0,,,,,,,,,,,,,,,,2.0,30.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,21992985.0,,,,,,,,,,,,,,,,3.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,7797095.0,,,,,,,,,,,,,,,,4.0,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,1371246.0,,,,,,,,,,,,,,,,5.0,37.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,1952570.0,,,,,,,,,,,,,,,,6.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,8626207.0,,,,,,,,,,,,,,,,7.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,628061.0,,,,,,,,,,,,,,,,8.0,41.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,3179849.0,,,,,,,,,,,,,,,,9.0,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,3282115.0,,,,,,,,,,,,,,,,10.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,5845526.0,,,,,,,,,,,,,,,,11.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,3563077.0,,,,,,,,,,,,,,,,12.0,44.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,6083116.0,,,,,,,,,,,,,,,,13.0,17.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,5851754.0,,,,,,,,,,,,,,,,14.0,11.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,2910357.0,,,,,,,,,,,,,,,,15.0,13.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,567025.0,,,,,,,,,,,,,,,,16.0,3.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,5700671.0,,,,,,,,,,,,,,,,17.0,20.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,903027.0,,,,,,,,,,,,,,,,18.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,12659682.0,,,,,,,,,,,,,,,,19.0,31.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,761723.0,,,,,,,,,,,,,,,,20.0,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,39937489.0,,,,,,,,,,,,,,,,21.0,4.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,,19440469.0,,,,,,,,,,,,,,,,22.0,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,982895.0,,,,,,,,,,,,,,,,23.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,6745354.0,,,,,,,,,,,,,,,,24.0,39.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,10611862.0,,,,,,,,,,,,,,,,25.0,12.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,1086759.0,,,,,,,,,,,,,,,,26.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,6169270.0,,,,,,,,,,,,,,,,27.0,26.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,1345790.0,,,,,,,,,,,,,,,,28.0,34.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,1412687.0,,,,,,,,,,,,,,,,29.0,21.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,10736059.0,,,,,,,,,,,,,,,,30.0,25.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,11747694.0,,,,,,,,,,,,,,,,31.0,38.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,12820878.0,,,,,,,,,,,,,,,,32.0,50.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,1826156.0,,,,,,,,,,,,,,,,33.0,35.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,29472295.0,,,,,,,,,,,,,,,,34.0,32.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,6897576.0,,,,,,,,,,,,,,,,35.0,23.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,4301089.0,,,,,,,,,,,,,,,,36.0,22.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,10045029.0,,,,,,,,,,,,,,,,37.0,42.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
